[Curriculum 3 Type 0 Episode 1680]	avg rewards : 7.357,	avg loss: : 0.015616,	buffer size : 8192,	epsilon : 5.5% 
[Curriculum 3 Type 0 Episode 1700]	avg rewards : 7.359,	avg loss: : 0.015666,	buffer size : 8192,	epsilon : 5.5% 
[Curriculum 3 Type 0 Episode 1720]	avg rewards : 7.384,	avg loss: : 0.015718,	buffer size : 8192,	epsilon : 5.5% 
[Curriculum 3 Type 0 Episode 1740]	avg rewards : 7.391,	avg loss: : 0.015737,	buffer size : 8192,	epsilon : 5.5% 
[Curriculum 3 Type 0 Episode 1760]	avg rewards : 7.398,	avg loss: : 0.015744,	buffer size : 8192,	epsilon : 5.4% 
[Curriculum 3 Type 0 Episode 1780]	avg rewards : 7.394,	avg loss: : 0.015730,	buffer size : 8192,	epsilon : 5.4% 
[Curriculum 3 Type 0 Episode 1800]	avg rewards : 7.400,	avg loss: : 0.015748,	buffer size : 8192,	epsilon : 5.4% 
[Curriculum 3 Type 0 Episode 1820]	avg rewards : 7.413,	avg loss: : 0.015753,	buffer size : 8192,	epsilon : 5.4% 
[Curriculum 3 Type 0 Episode 1840]	avg rewards : 7.424,	avg loss: : 0.015753,	buffer size : 8192,	epsilon : 5.4% 
[Curriculum 3 Type 0 Episode 1860]	avg rewards : 7.414,	avg loss: : 0.015762,	buffer size : 8192,	epsilon : 5.4% 
[Curriculum 3 Type 0 Episode 1880]	avg rewards : 7.431,	avg loss: : 0.015735,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 1900]	avg rewards : 7.427,	avg loss: : 0.015764,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 1920]	avg rewards : 7.433,	avg loss: : 0.015817,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 1940]	avg rewards : 7.418,	avg loss: : 0.015849,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 1960]	avg rewards : 7.434,	avg loss: : 0.015837,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 1980]	avg rewards : 7.450,	avg loss: : 0.015808,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 2000]	avg rewards : 7.451,	avg loss: : 0.015810,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 2020]	avg rewards : 7.451,	avg loss: : 0.015796,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 2040]	avg rewards : 7.447,	avg loss: : 0.015772,	buffer size : 8192,	epsilon : 5.3% 
[Curriculum 3 Type 0 Episode 2060]	avg rewards : 7.447,	avg loss: : 0.015758,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2080]	avg rewards : 7.443,	avg loss: : 0.015747,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2100]	avg rewards : 7.444,	avg loss: : 0.015795,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2120]	avg rewards : 7.449,	avg loss: : 0.015851,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2140]	avg rewards : 7.463,	avg loss: : 0.015867,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2160]	avg rewards : 7.450,	avg loss: : 0.015897,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2180]	avg rewards : 7.441,	avg loss: : 0.015936,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2200]	avg rewards : 7.451,	avg loss: : 0.015953,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2220]	avg rewards : 7.451,	avg loss: : 0.015976,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2240]	avg rewards : 7.465,	avg loss: : 0.015997,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2260]	avg rewards : 7.470,	avg loss: : 0.016009,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2280]	avg rewards : 7.466,	avg loss: : 0.016004,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2300]	avg rewards : 7.470,	avg loss: : 0.015977,	buffer size : 8192,	epsilon : 5.2% 
[Curriculum 3 Type 0 Episode 2320]	avg rewards : 7.458,	avg loss: : 0.015976,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2340]	avg rewards : 7.458,	avg loss: : 0.015980,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2360]	avg rewards : 7.471,	avg loss: : 0.015983,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2380]	avg rewards : 7.463,	avg loss: : 0.015968,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2400]	avg rewards : 7.459,	avg loss: : 0.015978,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2420]	avg rewards : 7.472,	avg loss: : 0.015980,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2440]	avg rewards : 7.485,	avg loss: : 0.015966,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2460]	avg rewards : 7.485,	avg loss: : 0.015951,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2480]	avg rewards : 7.485,	avg loss: : 0.015928,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2500]	avg rewards : 7.493,	avg loss: : 0.015925,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2520]	avg rewards : 7.493,	avg loss: : 0.015916,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2540]	avg rewards : 7.485,	avg loss: : 0.015899,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2560]	avg rewards : 7.489,	avg loss: : 0.015898,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2580]	avg rewards : 7.497,	avg loss: : 0.015899,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2600]	avg rewards : 7.489,	avg loss: : 0.015935,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2620]	avg rewards : 7.505,	avg loss: : 0.015964,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2640]	avg rewards : 7.505,	avg loss: : 0.015960,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2660]	avg rewards : 7.509,	avg loss: : 0.015949,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2680]	avg rewards : 7.516,	avg loss: : 0.015933,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2700]	avg rewards : 7.508,	avg loss: : 0.015921,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2720]	avg rewards : 7.505,	avg loss: : 0.015901,	buffer size : 8192,	epsilon : 5.1% 
